Speed Zone (km/hr),Total Serious Injury
50,1
70,0
50,1
60,0
100,0
80,0
100,0
50,0
80,0
80,0
60,0
50,1
40,1
60,0
80,1
100,1
100,1
80,1
60,0
70,1
50,1
60,0
60,0
60,0
60,0
60,1
80,0
70,0
60,1
100,0
60,0
60,0
60,0
100,0
80,0
100,1
100,0
60,0
70,0
100,0
50,1
100,1
50,0
80,0
100,0
60,0
60,0
60,0
70,0
100,0
60,0
100,1
60,0
50,1
100,0
80,2
80,0
80,0
80,1
80,1
60,0
80,0
60,0
60,0
60,0
50,0
60,0
50,1
100,1
40,0
100,0
60,0
60,0
60,0
100,0
40,0
100,1
50,0
100,1
50,0
50,0
80,1
50,0
100,0
80,0
40,0
100,0
50,0
80,0
80,0
50,1
60,0
40,0
100,1
60,0
100,0
50,0
80,1
80,1
100,1
60,0
110,0
60,0
60,0
40,2
60,0
50,0
70,0
60,0
60,0
100,0
60,0
100,0
50,0
60,0
80,0
60,1
60,0
80,0
100,1
80,0
60,0
50,1
80,1
60,0
100,1
110,1
100,1
100,0
60,1
50,0
50,0
50,0
60,0
40,0
30,0
100,0
80,0
40,0
60,0
100,0
60,0
60,0
100,0
80,0
60,0
100,1
50,0
60,0
80,0
50,0
80,4
50,1
80,0
60,0
100,1
50,0
80,0
60,0
60,0
50,1
80,0
50,0
60,0
100,0
60,0
100,0
60,1
80,0
60,0
100,0
50,1
60,1
100,1
50,0
100,1
60,1
60,0
60,0
50,0
60,1
80,1
50,0
50,1
50,1
80,0
60,0
50,0
60,0
80,0
50,0
60,1
40,1
60,0
80,1
50,0
60,0
60,0
60,0
60,0
50,0
60,0
50,0
80,0
60,0
50,0
80,1
50,1
60,0
60,0
70,0
60,0
60,0
60,0
60,1
60,1
90,0
60,0
40,0
60,1
100,0
60,0
60,1
60,0
70,0
40,1
70,0
60,0
40,1
70,0
60,0
60,0
80,0
80,0
80,0
60,0
60,0
80,2
70,1
100,1
60,0
60,0
80,0
50,0
80,1
60,0
100,0
50,0
60,0
60,1
50,1
60,0
60,0
60,1
50,1
60,0
100,0
60,1
80,1
60,1
50,0
70,1
60,1
60,0
60,0
60,0
100,0
80,0
60,0
80,0
50,0
80,0
80,1
80,1
80,0
60,0
60,0
100,0
80,0
50,0
60,1
80,0
80,1
70,1
100,3
50,0
100,0
90,1
60,0
100,0
100,1
50,0
60,0
100,0
40,0
40,0
50,0
60,0
60,0
100,0
80,0
60,1
50,1
50,0
80,1
50,0
100,0
80,0
100,0
100,0
60,0
80,5
60,0
60,1
60,0
50,0
60,0
80,1
50,1
60,0
70,0
100,0
60,0
50,1
60,0
80,0
50,0
60,0
40,0
80,0
100,0
70,0
60,0
80,1
60,1
80,0
50,1
50,0
80,0
60,0
70,0
60,0
80,1
50,0
100,0
100,0
50,0
60,0
100,0
100,1
80,1
100,1
50,1
60,1
60,0
60,0
80,0
70,0
80,0
100,0
60,0
60,0
100,1
100,1
60,0
80,1
50,0
80,0
60,0
80,0
80,1
100,0
60,1
50,1
110,1
60,0
40,0
50,0
60,2
60,0
70,0
40,0
80,1
60,0
50,0
50,0
80,0
60,1
60,1
100,0
100,0
50,0
80,0
40,0
60,0
70,0
60,0
100,0
40,1
60,0
60,0
100,0
80,0
40,0
40,0
60,0
60,0
80,0
50,0
60,1
100,0
50,0
50,0
50,0
50,0
100,1
50,0
60,0
100,1
40,0
100,0
70,1
100,0
60,0
60,0
60,0
60,0
80,1
50,2
100,1
80,0
100,3
100,0
50,0
60,0
40,0
60,1
50,0
60,0
60,0
100,0
60,0
70,0
50,0
60,0
70,0
60,0
50,0
70,0
40,0
60,1
60,0
60,2
60,0
60,0
100,2
50,1
50,0
60,0
60,1
60,0
60,0
100,0
80,1
60,1
40,1
50,1
50,1
100,0
50,0
100,0
40,0
40,0
80,0
70,0
60,0
60,1
60,0
70,0
60,0
60,0
80,1
50,1
60,0
60,0
80,0
60,0
60,0
60,0
100,0
50,0
70,0
60,0
60,1
40,0
60,0
60,1
100,0
60,1
60,0
50,0
60,0
40,0
50,1
50,0
60,0
60,1
50,0
50,0
50,0
60,0
100,1
80,0
60,1
60,1
60,0
60,0
60,0
100,0
50,0
70,0
60,0
40,1
100,1
50,0
50,0
80,0
60,1
100,1
60,0
60,0
100,0
80,0
40,1
60,0
50,0
60,1
100,0
100,0
60,1
60,0
50,0
60,1
40,0
50,0
80,1
80,0
100,1
40,0
80,0
80,1
50,0
50,0
60,1
100,0
60,1
50,0
100,0
70,0
100,0
80,0
100,0
50,0
80,0
40,0
60,0
80,0
60,0
60,0
60,1
100,0
40,0
40,0
60,0
60,0
80,0
80,0
60,0
80,1
60,0
100,0
60,0
60,0
70,0
60,0
80,0
80,1
100,1
40,0
50,1
80,0
60,0
50,0
60,0
100,1
50,1
50,0
80,0
30,1
60,1
60,0
100,1
60,0
100,1
60,0
70,1
80,0
60,0
60,1
60,0
60,0
60,0
50,0
50,0
60,0
70,0
60,0
80,1
70,0
80,0
100,0
40,0
60,1
50,1
60,1
70,0
60,1
60,0
100,0
80,0
100,1
70,0
50,1
60,1
60,1
100,0
60,0
80,0
80,0
50,0
100,1
60,0
60,0
60,0
70,1
60,0
100,0
50,0
60,1
50,0
60,1
50,0
50,0
40,0
80,0
60,0
50,1
100,0
40,0
60,1
70,0
100,0
70,0
50,0
60,1
50,1
60,1
60,1
50,1
80,0
80,1
80,1
100,4
60,0
50,0
100,0
60,0
100,0
60,0
50,1
100,0
100,0
50,0
100,0
80,0
60,1
50,1
80,0
60,0
80,0
40,0
60,0
60,0
50,0
40,0
100,0
100,2
60,0
70,1
70,0
40,1
50,0
80,1
60,1
60,0
60,0
60,1
80,0
50,0
60,0
70,0
50,0
80,0
60,0
100,0
60,0
50,0
50,0
100,0
50,1
60,0
80,0
50,0
60,0
70,0
80,0
60,0
70,1
40,0
60,0
60,0
100,0
60,0
50,0
60,0
60,0
100,0
110,1
60,1
60,1
60,0
60,0
60,0
60,0
80,0
60,0
80,0
100,0
60,0
60,1
100,0
60,0
50,0
100,1
100,0
60,3
80,0
60,1
60,1
60,0
50,0
80,0
50,0
100,1
100,1
40,0
50,0
100,1
80,0
60,0
50,1
60,0
100,1
50,0
100,1
50,1
50,0
100,1
100,0
60,0
60,0
60,0
80,0
50,0
60,0
100,0
50,0
50,0
110,0
100,0
50,0
50,1
80,0
60,0
70,0
100,1
100,1
60,1
60,0
60,0
60,1
100,0
60,0
100,1
50,0
60,0
100,0
60,0
60,1
50,0
50,0
100,1
50,0
50,0
60,0
80,0
100,5
60,1
60,0
100,0
40,0
80,0
80,0
60,0
50,0
60,1
60,1
50,0
100,1
50,0
40,0
80,0
60,0
60,0
100,0
80,0
70,1
80,0
80,1
60,1
100,1
50,0
80,2
80,1
60,0
60,0
70,0
100,0
60,1
50,0
40,0
60,1
60,0
100,0
60,0
60,0
70,0
40,0
40,1
50,0
60,1
60,0
60,0
40,1
40,0
80,0
60,0
100,0
50,0
40,1
60,1
50,0
50,1
40,1
100,0
80,1
70,0
60,0
50,0
100,0
60,0
60,0
70,1
60,0
60,0
100,1
50,1
60,0
100,0
100,0
80,0
40,0
60,0
50,0
60,0
60,1
50,0
60,0
40,0
80,1
60,0
80,0
80,0
60,0
60,0
60,0
60,0
60,0
50,0
100,1
80,2
100,3
80,0
60,0
50,0
100,0
60,0
80,0
60,0
50,0
50,0
60,1
60,0
40,0
70,0
60,1
100,0
100,0
70,0
60,1
60,0
60,0
80,0
60,0
50,0
60,0
80,0
80,0
60,0
60,0
100,0
60,0
60,1
100,0
80,3
50,0
100,0
60,1
40,0
60,0
60,0
60,0
60,0
60,1
80,1
80,0
60,0
60,0
70,0
60,0
60,0
60,0
40,0
40,0
50,0
60,0
70,3
60,0
60,0
50,1
50,0
80,0
100,0
100,1
40,2
60,0
80,0
60,0
100,0
60,1
60,0
50,0
50,0
110,0
60,1
110,0
110,0
60,0
60,0
80,0
40,5
60,0
60,0
60,0
60,1
60,0
80,1
100,0
80,0
60,1
80,0
50,0
60,0
100,2
70,2
100,1
50,0
60,0
60,0
60,0
60,0
80,0
50,0
60,1
80,0
50,1
50,1
70,0
100,1
100,0
60,0
100,1
50,1
60,0
50,0
70,1
100,0
60,1
80,1
60,1
60,0
60,0
70,2
100,1
50,0
60,0
70,1
100,1
60,0
60,1
50,0
60,1
100,1
100,0
50,0
80,0
50,1
60,0
60,0
50,1
60,1
60,0
60,0
60,0
80,1
80,0
100,1
100,1
50,1
110,0
80,1
60,0
80,2
60,1
80,1
60,0
50,0
80,0
60,0
70,0
60,0
80,0
60,0
110,1
60,1
50,0
70,0
60,0
40,0
40,0
80,1
50,0
80,1
50,1
40,1
60,0
50,0
70,0
50,0
60,0
60,0
60,0
50,0
60,1
50,0
60,0
60,1
50,0
80,0
40,0
80,0
80,0
70,0
70,1
100,1
70,0
60,0
50,0
60,0
80,1
40,1
100,0
80,0
60,0
60,1
80,0
40,0
50,1
60,0
110,1
50,1
60,2
100,0
60,0
50,0
60,0
80,0
70,1
80,0
60,0
80,0
100,0
100,1
80,1
60,1
80,0
50,0
50,0
100,0
100,0
50,0
50,0
80,0
80,1
60,0
40,1
70,0
50,0
80,1
50,0
60,0
60,1
60,0
80,0
50,0
100,0
80,1
60,0
60,0
100,4
110,2
60,0
100,1
100,0
100,0
60,0
40,0
80,0
80,0
50,1
60,0
40,0
40,0
80,0
60,0
60,0
70,1
60,1
60,0
70,0
100,1
60,0
60,0
60,1
60,0
80,1
100,2
40,0
60,0
100,1
60,0
60,0
60,1
40,0
60,1
60,0
40,0
40,0
60,0
70,1
60,0
60,0
50,0
80,1
60,1
100,1
60,1
60,0
50,0
60,1
80,0
60,0
80,0
60,0
100,1
80,0
40,0
110,0
60,0
100,0
60,0
70,0
60,0
40,0
80,0
60,0
80,0
60,1
40,1
100,1
100,1
50,2
100,0
50,0
80,1
50,0
50,1
60,1
60,1
80,1
100,0
100,0
60,0
50,1
40,0
50,0
60,0
50,1
100,1
60,1
100,0
80,0
70,0
60,0
80,2
60,0
60,1
60,1
100,0
50,0
80,0
80,0
50,1
70,1
70,1
50,1
100,0
60,1
60,1
100,0
100,1
50,1
60,1
60,0
70,0
50,1
100,0
60,0
60,0
80,0
100,0
40,0
100,0
40,0
50,0
60,0
60,0
100,0
60,1
50,1
100,1
80,1
60,1
60,0
40,1
60,0
60,0
60,0
60,0
60,0
60,0
100,0
80,0
100,0
60,0
60,0
100,0
100,1
110,2
100,2
60,1
100,0
50,0
70,0
60,0
100,2
60,0
60,1
80,0
60,0
70,0
50,0
60,1
60,0
50,0
80,0
100,0
80,0
100,1
80,0
80,0
60,1
40,0
70,0
40,0
80,0
60,0
50,1
60,0
80,3
50,1
60,0
80,0
60,0
60,0
60,1
40,0
100,0
80,0
100,0
100,1
60,0
60,1
60,1
50,0
60,0
60,1
60,0
50,1
70,0
60,0
50,0
50,0
50,0
60,0
60,0
60,1
60,0
100,0
100,0
50,1
60,1
50,0
100,0
60,0
50,1
60,0
60,0
60,1
60,0
100,0
70,0
100,0
40,0
40,0
80,0
60,1
50,0
60,0
100,0
60,0
50,0
80,0
60,0
70,0
40,1
60,1
60,0
60,1
70,0
50,0
60,0
100,1
60,0
100,0
60,0
60,1
60,1
60,0
60,0
40,0
60,0
60,1
50,1
60,0
70,0
50,0
50,1
60,2
50,0
80,0
60,0
60,1
40,0
40,1
60,0
60,0
60,0
50,0
50,0
60,0
60,0
80,0
80,0
50,0
60,0
80,0
60,0
60,1
60,0
60,0
80,0
80,0
50,1
60,1
40,0
60,0
60,0
80,0
60,0
80,0
70,1
80,0
60,0
60,1
80,0
60,0
100,1
60,0
50,0
50,0
80,1
60,0
60,1
60,1
80,1
100,1
80,0
80,0
60,0
50,1
50,0
80,0
60,1
100,1
70,0
80,0
60,0
80,0
50,1
40,1
60,0
50,0
80,0
60,0
60,0
80,0
50,0
60,0
80,0
40,1
50,0
50,0
50,0
100,1
70,0
70,0
100,1
80,0
100,0
60,0
100,1
100,0
80,1
100,0
80,0
60,0
60,0
50,0
60,0
100,0
80,1
60,0
70,1
80,1
100,0
80,0
50,1
100,1
100,0
40,0
60,0
100,1
40,0
40,0
60,1
50,1
70,0
70,0
50,0
80,0
50,0
50,0
100,0
60,0
50,0
60,1
60,0
80,0
60,2
60,0
60,0
40,1
60,1
60,1
100,0
100,1
60,0
100,1
80,1
60,0
60,0
60,1
80,0
60,1
110,0
100,0
80,0
110,0
80,0
90,0
50,0
60,0
70,0
100,1
100,1
50,0
50,0
80,0
50,0
100,0
40,0
50,1
100,0
100,1
60,0
50,0
110,0
60,0
70,0
60,0
50,1
60,0
80,0
100,0
50,0
60,0
50,0
80,1
100,2
80,0
60,1
60,1
60,0
80,0
50,1
60,0
100,1
40,0
60,0
60,1
100,0
60,0
80,1
50,0
60,0
60,0
60,0
100,1
40,0
80,0
70,0
80,0
50,0
100,0
50,0
60,0
60,1
80,0
60,1
60,0
60,0
80,0
100,1
100,0
100,1
40,0
50,0
60,0
50,0
50,0
80,0
100,0
60,0
60,0
70,0
60,0
50,0
70,0
100,0
100,0
100,0
100,1
60,0
100,1
60,0
50,1
60,1
80,0
60,0
50,0
50,1
50,0
60,0
70,2
50,0
100,0
60,0
50,0
50,0
50,0
60,0
80,1
60,0
100,0
50,1
60,1
60,0
100,0
60,3
50,1
100,0
50,0
60,1
80,0
50,0
80,1
60,0
60,1
100,0
60,0
50,0
60,0
80,0
60,0
110,2
50,0
60,0
60,0
100,1
80,1
60,0
70,0
50,1
50,0
80,0
60,1
100,0
110,1
70,0
80,0
50,0
100,0
80,0
40,1
60,1
100,0
50,0
60,0
60,0
100,1
50,0
40,0
90,0
60,1
60,0
100,0
80,0
50,0
60,0
60,0
60,0
100,1
70,0
60,0
60,0
100,1
100,0
80,1
80,1
50,0
100,2
80,0
80,0
60,0
80,0
80,0
50,0
80,0
60,1
60,0
50,0
50,0
50,0
70,0
50,0
50,0
60,0
50,0
40,0
60,0
50,0
60,0
60,0
60,0
100,1
80,0
50,0
50,2
50,0
60,1
50,0
80,0
40,0
100,1
100,0
60,1
60,0
80,1
80,0
60,1
60,0
60,1
60,2
60,0
80,0
50,1
80,0
40,0
80,0
60,0
50,0
80,0
60,0
70,0
60,1
80,0
50,0
60,0
60,0
50,0
60,0
50,1
50,0
60,0
80,0
50,0
80,1
60,0
40,0
70,0
80,1
100,0
100,1
80,1
60,1
60,1
100,1
100,1
60,0
100,0
60,0
100,0
40,0
60,0
100,0
60,1
50,1
70,1
100,0
70,1
60,0
60,0
40,1
60,1
70,1
60,0
100,1
80,1
80,0
50,0
60,0
60,0
40,0
50,0
50,1
80,0
50,0
60,0
100,1
60,0
60,1
100,0
50,0
100,1
70,0
100,0
60,0
60,0
80,1
60,0
50,0
60,0
100,0
50,0
100,0
100,1
60,0
100,1
60,3
50,0
60,3
50,0
60,1
50,0
50,1
60,0
60,1
60,0
60,1
60,0
60,1
60,0
100,0
60,0
50,0
100,0
70,0
70,0
60,1
50,0
70,0
60,1
60,0
40,0
80,1
60,0
60,0
80,0
50,0
50,0
100,0
60,0
60,0
40,0
100,0
100,1
60,0
80,0
60,0
50,0
50,0
80,0
60,0
60,0
60,0
80,1
60,1
50,1
100,1
40,0
60,0
80,1
80,1
60,1
60,0
50,0
60,0
40,0
50,0
60,0
100,0
60,0
70,0
60,0
40,0
60,0
70,1
100,0
40,0
60,0
100,0
50,0
40,0
80,1
60,0
50,0
40,1
80,0
60,0
50,1
50,1
60,0
60,1
50,0
60,0
60,0
60,0
50,1
60,1
80,1
50,1
60,0
100,0
60,0
60,0
100,0
50,1
60,0
60,0
100,1
80,0
50,0
100,0
100,1
100,1
100,0
100,0
40,0
100,0
40,1
100,0
60,3
60,0
60,0
80,0
60,1
60,0
100,0
80,0
100,0
80,1
60,0
80,2
50,0
60,0
60,1
60,0
100,0
40,0
60,0
100,0
60,0
70,0
60,1
80,2
80,0
60,3
50,0
50,0
50,0
60,0
80,0
60,1
60,0
50,1
100,0
100,0
80,0
50,1
100,2
50,1
50,1
70,1
60,0
60,0
80,5
60,1
60,1
50,0
100,1
60,0
50,0
60,0
100,3
70,0
100,0
60,1
100,1
50,0
60,0
50,0
100,1
60,1
100,1
60,1
60,0
60,0
50,1
50,0
100,0
60,0
60,1
60,0
80,0
100,1
80,2
40,0
100,2
70,0
80,0
80,0
100,0
60,0
50,1
60,0
80,0
60,0
60,0
60,0
40,0
50,1
70,1
70,1
60,0
50,0
50,0
110,1
100,1
40,0
70,0
60,1
60,0
60,0
80,0
60,0
60,0
60,0
60,0
50,1
50,0
50,0
50,1
50,0
50,1
40,0
50,0
100,1
50,0
60,0
60,0
60,0
50,0
80,0
60,0
80,0
100,3
40,0
60,0
50,0
50,1
100,0
60,0
60,0
60,0
60,0
50,0
80,0
70,0
80,0
80,0
60,0
60,0
100,0
70,1
60,1
60,0
60,0
60,2
60,0
60,1
70,0
60,0
50,0
100,0
60,0
60,0
70,0
80,0
80,0
70,1
60,1
50,0
50,0
70,0
70,1
80,2
40,0
80,1
100,1
60,1
100,0
50,1
60,0
60,1
60,1
60,0
80,0
50,0
100,0
80,0
40,0
80,0
80,1
70,0
60,0
60,0
60,0
60,0
80,0
60,0
60,1
40,0
80,0
60,0
60,0
40,0
60,1
60,0
60,0
60,0
60,0
60,0
60,0
60,1
100,0
60,0
50,1
40,0
80,0
70,0
100,0
50,1
80,0
60,0
60,0
80,0
100,0
100,0
100,0
60,0
100,0
60,0
70,0
100,0
100,1
60,1
100,1
100,0
100,0
50,1
80,0
110,0
60,0
80,1
60,0
60,1
60,0
60,0
100,1
50,0
100,0
100,1
100,1
50,0
70,1
50,1
60,2
50,0
40,0
80,0
60,0
60,0
60,0
100,0
60,0
60,0
60,0
60,0
40,0
60,0
40,0
80,0
50,0
40,0
80,1
60,0
50,1
80,1
50,0
60,0
50,0
50,1
100,0
100,0
50,0
60,0
60,0
60,0
60,0
50,1
60,1
50,0
50,0
60,1
60,0
60,0
40,0
60,0
60,0
70,0
60,0
40,0
40,0
100,0
50,0
60,0
50,0
100,1
60,0
60,0
40,0
100,0
100,0
80,0
100,0
60,0
80,1
60,0
60,0
110,0
60,0
60,0
60,1
50,1
60,0
40,1
60,0
70,0
50,1
100,2
60,0
60,0
100,1
80,0
60,1
60,0
60,0
40,0
100,1
60,1
50,1
40,1
50,0
100,0
50,0
50,0
60,1
80,0
50,0
50,0
60,0
80,0
50,1
60,0
110,0
60,0
60,0
60,0
60,0
70,0
80,0
50,0
80,0
60,1
70,0
60,0
100,0
70,0
50,0
80,2
40,0
60,1
50,0
60,0
50,1
70,0
50,1
60,0
100,1
50,0
70,0
100,1
50,0
60,0
80,0
50,1
60,0
80,0
60,1
80,0
100,0
50,0
50,0
60,0
60,0
60,0
40,0
70,0
80,0
60,0
60,0
50,0
60,1
60,1
50,1
60,0
100,0
60,0
70,1
80,0
60,0
70,0
60,1
60,1
50,1
60,1
50,0
100,1
60,0
60,0
100,2
100,2
60,0
50,1
40,0
50,0
60,0
60,0
60,0
60,0
50,0
60,0
80,1
60,1
60,0
40,1
40,1
60,0
60,1
40,1
50,0
60,1
60,0
80,0
100,0
60,0
100,1
60,0
80,2
100,1
80,0
70,0
60,0
50,0
60,0
60,1
60,1
60,1
50,0
70,0
50,0
80,0
50,0
60,1
40,1
50,1
60,1
80,0
60,1
80,0
80,1
60,0
50,1
60,0
70,1
40,0
60,0
60,0
50,0
100,0
100,0
100,0
80,1
60,0
80,0
50,1
80,0
60,0
90,0
60,0
40,0
100,0
60,0
90,0
60,1
80,0
100,0
40,0
60,0
50,0
70,2
60,0
60,0
60,0
50,1
60,2
40,1
60,0
60,0
100,0
80,0
40,0
70,0
60,1
60,0
60,0
60,0
100,1
80,0
50,0
60,0
50,0
60,0
70,1
80,0
70,0
60,0
100,0
100,0
60,0
50,1
60,0
60,0
50,1
60,0
80,0
60,0
50,1
110,0
80,0
100,0
60,0
100,0
100,2
60,0
60,0
80,2
60,0
60,0
80,0
60,1
50,0
60,0
70,0
50,0
60,1
80,0
100,1
80,0
70,0
80,0
80,0
100,1
60,1
80,0
110,0
80,0
60,1
70,0
60,0
60,0
60,0
80,0
60,0
60,0
70,3
60,0
80,1
80,1
60,0
40,0
60,1
80,1
60,0
100,0
60,0
80,0
80,0
60,0
80,0
90,0
60,1
50,0
80,1
60,2
70,0
100,0
60,0
80,0
60,0
70,0
60,0
60,1
80,0
80,0
80,0
60,0
60,0
70,0
50,1
50,0
70,1
60,0
70,0
80,0
60,0
80,1
80,0
40,0
60,0
70,0
60,1
80,0
60,0
50,1
60,0
100,2
100,2
50,1
100,1
70,0
60,0
80,0
60,0
80,0
60,1
70,0
60,1
60,0
40,0
50,0
80,1
50,0
60,0
110,0
60,1
100,1
60,0
60,0
60,0
50,0
80,1
60,0
50,1
70,0
50,0
100,0
50,0
60,1
50,1
80,0
50,0
50,0
50,0
50,0
100,0
60,0
80,0
60,0
60,0
80,0
60,0
100,0
50,0
40,0
60,0
50,0
60,1
50,0
60,0
60,0
60,1
100,0
80,0
100,0
70,0
100,1
80,0
40,0
80,0
60,1
60,0
60,1
100,0
50,0
50,1
60,0
50,0
40,0
60,1
60,0
50,1
100,0
100,0
40,0
60,0
60,0
80,1
100,1
70,0
70,0
80,0
50,0
60,1
60,0
80,0
60,0
60,0
100,0
100,0
50,0
60,1
80,0
70,0
70,0
80,0
80,0
60,0
80,0
60,1
60,1
60,0
60,1
80,1
80,0
100,0
60,0
40,1
80,0
40,0
80,0
50,0
70,0
70,0
60,0
60,1
80,0
70,0
80,2
60,0
50,0
60,0
60,1
50,1
100,0
60,0
60,0
80,0
60,2
60,1
100,0
80,1
60,0
100,1
100,0
100,2
60,0
100,0
60,2
60,1
70,0
60,0
110,0
80,0
60,0
60,0
60,0
60,0
100,0
50,0
50,0
80,0
60,1
50,0
100,2
50,0
100,0
50,0
50,0
60,0
80,0
60,1
80,0
60,1
80,0
80,0
80,0
80,0
60,0
100,2
100,0
80,0
60,0
50,0
80,0
40,0
50,0
80,0
60,1
70,1
100,1
60,0
70,1
60,2
80,1
100,1
70,1
100,0
60,0
70,0
100,0
110,0
60,0
60,1
50,1
70,0
50,0
40,0
100,0
60,0
80,0
100,0
80,0
80,0
100,0
80,2
40,0
60,1
50,0
100,1
100,1
60,0
100,0
50,0
70,1
60,0
60,0
80,0
50,1
60,0
50,0
80,0
70,0
60,0
60,1
50,0
50,0
40,0
100,0
60,0
60,0
40,1
100,0
60,0
50,0
100,0
60,1
60,0
60,0
100,0
60,0
60,0
60,1
60,0
60,1
60,1
60,0
60,1
50,0
40,0
40,0
80,1
100,0
60,0
80,0
50,2
60,0
50,0
50,1
60,0
50,0
100,1
50,3
40,1
60,1
80,0
80,0
100,1
80,1
70,1
60,0
50,0
50,0
100,1
60,0
80,1
60,1
60,0
50,0
60,0
80,0
60,0
60,0
80,1
60,0
100,1
60,0
70,1
60,1
60,0
80,0
50,0
60,0
100,0
100,0
60,0
80,0
60,0
100,1
110,0
60,0
60,1
60,0
80,1
50,0
60,1
80,0
60,0
100,1
70,0
60,0
60,0
60,0
100,0
60,0
50,0
50,0
80,0
50,1
40,0
50,0
60,0
70,0
60,0
80,0
60,0
50,0
80,1
80,0
50,0
50,0
40,0
40,0
60,0
60,0
40,0
60,0
70,0
60,0
40,0
60,0
50,0
80,1
60,0
70,0
60,0
70,0
80,0
80,0
60,0
60,1
60,1
50,0
80,0
80,0
50,1
100,1
50,0
100,1
60,0
60,0
40,0
60,0
100,0
60,0
80,1
70,1
40,1
50,0
50,0
100,1
100,1
60,0
60,0
50,0
60,0
80,0
80,0
60,0
60,0
50,0
60,0
100,1
60,1
100,1
60,0
100,1
100,0
40,1
60,2
60,0
50,1
60,0
50,0
50,1
50,0
60,0
80,0
80,0
60,0
100,0
80,1
60,0
80,1
40,0
60,1
50,0
100,1
80,0
40,0
60,0
80,1
80,1
80,1
50,0
80,0
60,0
60,0
60,1
80,5
100,0
100,0
80,0
80,0
50,0
60,0
40,0
60,0
50,0
50,0
80,0
80,0
80,0
50,0
50,0
60,0
50,0
100,1
60,1
50,0
60,0
80,0
40,1
80,0
100,1
60,0
50,1
60,0
60,0
50,0
50,0
60,0
80,0
60,0
50,0
60,0
80,0
80,0
50,0
60,0
100,0
60,0
50,0
80,0
70,0
50,0
50,0
80,0
60,0
40,0
50,0
50,0
60,0
50,0
60,1
40,0
60,0
50,1
50,1
60,0
50,0
60,0
80,1
80,1
80,1
60,1
60,1
60,1
50,0
60,0
70,0
50,0
80,1
80,0
60,0
50,0
60,0
60,0
40,0
60,0
80,0
60,0
80,0
60,0
100,1
80,0
60,1
40,1
50,0
60,0
70,1
50,0
60,1
50,0
50,0
50,0
60,3
60,0
80,1
50,0
80,0
80,0
50,1
60,0
100,1
60,0
60,1
60,1
60,1
60,0
60,0
50,0
50,0
80,0
60,0
50,0
60,0
80,0
80,0
50,0
60,1
60,0
80,0
100,0
50,0
70,1
40,0
60,0
80,2
80,1
100,0
60,0
50,0
60,0
60,0
60,1
80,0
40,1
50,0
60,0
80,0
50,0
100,0
50,0
50,1
40,0
70,0
80,0
50,1
80,0
60,0
40,0
50,0
80,0
70,0
80,0
100,0
60,0
60,0
50,0
80,0
60,1
60,0
60,0
80,0
110,1
70,1
60,0
100,1
80,0
60,0
60,1
80,1
60,0
40,1
60,0
80,0
100,3
100,1
60,2
80,0
70,0
60,0
60,0
60,0
60,0
60,0
60,0
60,0
110,0
60,0
50,0
80,0
60,0
80,0
80,0
100,1
100,1
50,0
60,1
60,0
60,0
60,0
80,0
60,0
60,2
60,1
60,0
100,0
60,1
100,0
50,0
110,0
60,0
60,0
80,1
40,1
100,0
80,1
60,0
60,0
60,0
60,0
60,1
100,0
110,0
60,0
60,1
80,1
60,1
80,1
50,0
90,0
60,0
60,0
80,0
60,1
60,0
50,1
50,0
60,0
60,0
100,0
50,0
100,0
70,0
80,1
100,1
80,2
80,1
100,0
70,1
60,0
50,0
60,0
100,0
70,0
60,0
50,1
50,0
50,0
100,1
70,0
70,0
80,0
60,0
50,0
80,0
100,0
70,0
60,0
100,1
80,1
60,0
80,0
60,0
50,0
50,0
50,1
80,0
50,1
70,1
60,0
100,0
100,0
100,0
70,0
50,1
70,0
100,0
50,1
80,1
100,1
110,0
60,0
60,0
60,0
80,1
60,0
60,0
40,0
60,0
40,1
60,0
70,1
50,0
40,0
80,1
60,0
80,0
60,0
80,1
80,1
60,0
100,0
60,1
60,0
60,0
50,0
100,0
60,0
80,0
50,0
100,0
60,0
50,0
60,1
80,0
60,1
100,0
80,0
100,0
50,0
60,0
100,0
60,0
70,1
40,0
50,0
80,0
60,0
60,1
60,2
60,1
60,0
60,0
60,0
60,0
60,0
60,1
60,0
100,1
60,1
60,0
80,0
60,0
70,1
70,0
50,0
50,0
60,0
80,1
60,1
70,0
60,0
50,0
40,1
80,0
80,0
60,0
60,0
80,0
80,0
60,1
100,2
50,0
50,0
60,1
40,0
100,0
60,0
50,0
60,0
100,1
60,0
80,0
60,0
60,0
40,0
100,0
50,0
80,1
100,0
60,0
50,0
60,1
80,0
40,0
60,0
70,0
60,1
60,1
60,1
60,1
60,0
50,0
50,0
80,0
100,1
80,2
60,1
70,0
50,0
60,1
50,0
100,0
100,0
60,1
80,0
70,0
110,1
60,0
50,1
60,0
50,0
60,0
100,1
100,1
60,0
60,0
100,1
70,0
60,0
40,1
100,0
80,0
60,0
80,0
80,0
50,1
60,0
80,0
100,1
80,0
60,0
100,0
80,2
50,0
80,0
100,0
60,0
60,0
70,0
50,0
50,0
100,0
80,0
80,0
60,1
60,0
80,0
60,1
60,0
60,1
80,0
60,0
40,1
40,0
60,0
60,0
80,1
60,2
60,0
40,0
50,0
60,0
70,1
80,0
60,0
60,0
80,1
100,0
60,0
